                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2704,                 2.2509,                 1.7886,                0.33735,                0.64472,                0.41526,                0.16984,                 2.1029,                 8.4417,                 3.8361,             0.00053344,             0.00053344,             0.00053344
                      2,                 1.4319,                 1.7369,                 1.8609,                0.00846,                0.16995,                0.00426,                0.00088,                  4.288,                    inf,                 66.119,              0.0010299,              0.0010299,              0.0010299
                      3,                 1.4909,                 1.8828,                 1.9212,                0.00056,                0.05457,                0.00026,                  6e-05,                 4.8501,                    inf,                  434.2,              0.0014719,              0.0014719,              0.0014719
                      4,                 1.6223,                 1.8892,                  2.004,                0.06103,                0.03894,                0.01103,                  0.002,                 4.1282,                 16.929,                 6.9937,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.5524,                 1.7979,                 1.9304,                0.02876,                 0.2006,                0.01587,                0.00407,                 3.1369,                 4.9121,                 4.7121,              0.0014195,              0.0014195,              0.0014195
                      6,                 1.4296,                 1.6929,                 1.8472,                0.20173,                0.37272,                0.15399,                0.06719,                 2.3464,                 14.845,                 3.5201,              0.0013369,              0.0013369,              0.0013369
                      7,                  1.452,                  1.694,                 1.8403,                0.22958,                0.50553,                0.16708,                0.06615,                 2.0972,                 4.6563,                 3.3815,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.3859,                 1.6643,                 1.8188,                0.69778,                0.29702,                0.28888,                0.11474,                   1.94,                 2.5859,                 2.9428,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.3722,                 1.6289,                 1.7957,                0.52974,                 0.5262,                0.49403,                0.23551,                 1.6795,                 1.9318,                 2.6943,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.2784,                 1.4865,                 1.7133,                0.54781,                 0.5512,                0.57315,                0.26139,                 1.6805,                 1.6508,                 2.5213,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.3007,                 1.4337,                 2.0244,                0.53748,                0.62257,                0.62765,                0.30524,                 1.7186,                 1.7934,                 2.5826,             0.00092435,             0.00092435,             0.00092435
                     12,                 1.2342,                 1.2607,                 1.9553,                0.50546,                0.64308,                0.57527,                0.31325,                 1.6604,                 1.6716,                 2.5746,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.1433,                 1.2015,                 1.8861,                0.59729,                0.63738,                0.64266,                0.35258,                 1.6527,                 1.5925,                 2.5998,             0.00075932,             0.00075932,             0.00075932
                     14,                  1.118,                 1.0895,                 1.8387,                0.66486,                0.65414,                0.72278,                0.41541,                 1.5857,                 1.3491,                  2.471,              0.0006768,              0.0006768,              0.0006768
                     15,                 1.1017,                 1.0747,                 1.8178,                0.69788,                0.61334,                0.67145,                 0.3643,                 1.6438,                 1.3997,                 2.7225,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.0695,                 1.0255,                  1.793,                 0.6324,                0.66707,                0.63746,                0.35512,                 1.6444,                 1.5118,                 2.6025,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.0379,                0.94094,                  1.768,                0.80627,                0.69038,                0.77181,                0.45253,                 1.4325,                 1.1608,                 2.2441,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.0124,                0.86954,                  1.714,                0.67011,                0.71251,                0.70262,                0.44188,                 1.4233,                 1.2654,                  2.246,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.0276,                0.84224,                 1.7143,                0.81961,                0.70529,                0.77693,                0.49639,                 1.3393,                 1.1279,                 2.1033,             0.00026422,             0.00026422,             0.00026422
                     20,                0.93471,                0.77159,                 1.6607,                0.84036,                0.64279,                0.79649,                0.51154,                 1.3378,                 1.1248,                 2.1028,              0.0001817,              0.0001817,              0.0001817
